"tra_meas,unit,geo\time"	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
"PAS_CRD,THS_PAS,AT12"	16808	18719	19687	18045	19617	21106	22196	22041	22473	22740	23318	24333
"PAS_CRD,THS_PAS,AT21"	403	465	430	409	427	378	277	256	226	230	195	216
"PAS_CRD,THS_PAS,AT22"	873	918	982	926	964	959	915	875	889	956	984	952
"PAS_CRD,THS_PAS,AT31"	720	730	757	641	642	660	611	545	553	523	432	391
"PAS_CRD,THS_PAS,AT32"	1844	1913	1784	1534	1613	1696	1663	1667	1823	1829	1749	1895
"PAS_CRD,THS_PAS,AT33"	785	840	953	943	1025	996	930	981	988	1001	1011	1090
"PAS_CRD,THS_PAS,BE21"	111	136	129	125	81	114	110	110	84	195	257	255
"PAS_CRD,THS_PAS,BE24"	16593	17745	18369	16785	16980	18613	18815	18985	21754	23269	21769	24776
"PAS_CRD,THS_PAS,BE25"	: 	168	164	151	175	201	204	220	226	260	423	354
"PAS_CRD,THS_PAS,BE32"	2155	2443	2942	3919	5181	5883	6506	6776	6425	6945	7291	7688
"PAS_CRD,THS_PAS,BE33"	298	329	395	351	295	303	296	310	298	295	378	188
"PAS_CRD,THS_PAS,BG33"	: 	1493	1430	1212	1200	1165	1210	1302	1372	1382	1669	1947
"PAS_CRD,THS_PAS,BG34"	: 	1947	1920	1684	1872	2227	2357	2461	2508	2334	2854	2950
"PAS_CRD,THS_PAS,BG41"	: 	2723	3205	3116	3278	3466	3456	3497	3808	4057	4964	6478
"PAS_CRD,THS_PAS,CH01"	9821	10738	11322	11176	11752	13010	13790	14330	15059	15688	16448	17269
"PAS_CRD,THS_PAS,CH02"	98	89	92	95	86	169	258	245	178	175	167	168
"PAS_CRD,THS_PAS,CH04"	19298	20717	22074	21911	22849	24311	24788	24853	25451	26249	27627	29356
"PAS_CRD,THS_PAS,CH05"	98	99	91	73	68	95	116	86	84	92	99	110
"PAS_CRD,THS_PAS,CH07"	186	187	180	157	159	165	167	143	136	156	168	136
"PAS_CRD,THS_PAS,CY00"	6714	7004	7218	6730	6948	7190	7328	7011	7329	7591	8962	10239
"PAS_CRD,THS_PAS,CZ01"	11513	12359	12587	11602	11514	11724	10774	10950	11130	11868	12990	15386
"PAS_CRD,THS_PAS,CZ04"	33	61	76	62	68	96	101	101	82	35	19	20
"PAS_CRD,THS_PAS,CZ05"	: 	: 	: 	43	59	59	124	179	145	54	28	85
"PAS_CRD,THS_PAS,CZ06"	355	380	455	391	356	525	498	433	457	436	399	459
"PAS_CRD,THS_PAS,CZ08"	270	298	311	270	244	246	246	229	266	280	237	312
"PAS_CRD,THS_PAS,DE11"	10019	10269	9874	8875	9135	9535	9677	9545	9689	10487	10599	10942
"PAS_CRD,THS_PAS,DE12"	879	1026	1199	1130	1215	1107	1278	1054	947	1045	1101	1236
"PAS_CRD,THS_PAS,DE13"	0	0	0	0	0	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE14"	630	622	618	544	570	539	507	497	550	511	467	456
"PAS_CRD,THS_PAS,DE21"	30607	33814	34400	32560	34520	37593	38186	38518	39571	40861	42159	44535
"PAS_CRD,THS_PAS,DE22"	0	0	0	0	0	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE24"	23	25	20	17	14	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE25"	4000	4229	4229	3928	4020	3934	3569	3294	3237	3352	3449	4161
"PAS_CRD,THS_PAS,DE27"	1	85	460	806	903	755	867	837	747	869	993	1176
"PAS_CRD,THS_PAS,DE30"	12392	13670	14713	14133	14966	16892	18148	19576	20669	20995	21245	20451
"PAS_CRD,THS_PAS,DE40"	6013	6306	6615	6767	7255	7099	7081	6712	7274	8509	11625	12852
"PAS_CRD,THS_PAS,DE50"	1678	2220	2477	2435	2657	2553	2442	2606	2768	2657	2568	2535
"PAS_CRD,THS_PAS,DE60"	11874	12689	12782	12178	12884	13527	13675	13482	14739	15581	16191	17589
"PAS_CRD,THS_PAS,DE71"	52403	53854	53189	50573	52646	56275	57261	57878	59414	60889	60669	64390
"PAS_CRD,THS_PAS,DE73"	0	0	0	0	0	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE80"	157	173	160	147	171	164	146	122	111	: 	218	263
"PAS_CRD,THS_PAS,DE91"	2	2	1	1	2	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE92"	5607	5586	5569	4905	4994	5301	5261	5209	5266	5432	5384	5854
"PAS_CRD,THS_PAS,DE94"	1	0	1	0	0	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DEA1"	17092	18627	19623	20115	21789	22707	23005	23672	23624	24357	25350	26495
"PAS_CRD,THS_PAS,DEA2"	9811	10404	10296	9696	9786	9597	9256	9051	9418	10313	11879	12366
"PAS_CRD,THS_PAS,DEA3"	1500	1553	1520	1344	1288	1292	1002	842	878	804	771	949
"PAS_CRD,THS_PAS,DEA4"	1227	1208	1116	937	977	954	861	784	757	765	686	724
"PAS_CRD,THS_PAS,DEA5"	1958	2091	2297	1691	1732	1808	1892	1916	1954	1973	1915	1997
"PAS_CRD,THS_PAS,DEB1"	3509	3953	3885	3738	3454	2830	2651	2585	2380	2597	2515	2358
"PAS_CRD,THS_PAS,DEB2"	0	0	0	0	0	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DEB3"	0	0	305	314	242	208	225	209	201	: 	: 	: 
"PAS_CRD,THS_PAS,DEC0"	380	310	447	396	417	411	386	354	351	433	399	373
"PAS_CRD,THS_PAS,DED2"	1789	1803	1820	1680	1794	1902	1869	1742	1738	1712	1656	1701
"PAS_CRD,THS_PAS,DED5"	2128	2358	1980	1834	1810	1834	2088	2129	2295	2304	2177	2347
"PAS_CRD,THS_PAS,DEE0"	0	0	0	0	0	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DEF0"	349	708	656	831	711	522	499	505	318	264	130	: 
"PAS_CRD,THS_PAS,DEG0"	: 	305	298	256	305	265	171	206	219	224	226	274
"PAS_CRD,THS_PAS,DEZZ"	53	185	15	21	17	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DK01"	20701	21305	21694	19609	21394	22622	23252	23973	25536	26518	28958	29119
"PAS_CRD,THS_PAS,DK02"	12	12	11	8	9	13	10	10	7	8	8	7
"PAS_CRD,THS_PAS,DK03"	2062	2436	2665	2391	2665	2796	2793	2911	2961	2999	3209	3499
"PAS_CRD,THS_PAS,DK04"	758	786	772	689	869	880	638	588	545	498	535	515
"PAS_CRD,THS_PAS,DK05"	786	984	1043	1117	1323	1378	1301	1381	1377	1417	1493	1493
"PAS_CRD,THS_PAS,EE00"	1533	1723	1804	1341	1381	1908	2202	1959	2020	2161	2215	2635
"PAS_CRD,THS_PAS,EL11"	598	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL12"	3803	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL13"	12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL14"	267	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL21"	126	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL22"	3369	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL23"	400	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL24"	9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL25"	94	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL30"	15076	16637	16453	16216	15393	14427	12936	12534	15207	18105	20020	21730
"PAS_CRD,THS_PAS,EL41"	1325	1503	1465	1517	1349	1272	1115	1067	1202	1265	1117	1192
"PAS_CRD,THS_PAS,EL42"	6417	6902	6731	6527	6785	7795	7335	8156	9210	9643	10065	11312
"PAS_CRD,THS_PAS,EL43"	7129	7415	7406	6947	6655	7117	7006	7951	8565	8840	9749	10429
"PAS_CRD,THS_PAS,EL51"	: 	685	641	663	593	505	432	391	407	432	437	503
"PAS_CRD,THS_PAS,EL52"	: 	4395	4358	4208	3969	4008	4075	4111	5021	5397	5735	6347
"PAS_CRD,THS_PAS,EL53"	: 	9	9	9	6	12	11	12	9	11	14	12
"PAS_CRD,THS_PAS,EL54"	: 	141	131	138	120	89	71	64	79	87	97	96
"PAS_CRD,THS_PAS,EL61"	: 	298	295	293	302	361	351	358	402	401	431	450
"PAS_CRD,THS_PAS,EL62"	: 	3422	3373	3105	3021	3145	3202	3571	4081	4227	4738	5184
"PAS_CRD,THS_PAS,EL63"	: 	475	454	411	390	387	441	470	519	550	612	717
"PAS_CRD,THS_PAS,EL64"	: 	13	13	13	5	5	15	20	13	22	16	17
"PAS_CRD,THS_PAS,EL65"	: 	115	81	77	100	107	109	141	242	193	232	284
"PAS_CRD,THS_PAS,ES11"	4128	4655	4311	4084	4337	4429	3856	3580	3738	4022	4517	4837
"PAS_CRD,THS_PAS,ES12"	1348	1556	1524	1310	1350	1334	1306	1034	1063	1118	1282	1405
"PAS_CRD,THS_PAS,ES13"	648	759	857	957	918	1115	1115	973	815	874	777	935
"PAS_CRD,THS_PAS,ES21"	4391	4901	4613	3984	4194	4301	4437	4034	4227	4517	4874	5330
"PAS_CRD,THS_PAS,ES22"	364	490	426	325	283	230	181	150	135	144	: 	: 
"PAS_CRD,THS_PAS,ES24"	430	510	596	529	606	751	550	458	417	424	419	437
"PAS_CRD,THS_PAS,ES30"	45064	51208	50366	47944	49797	49532	45124	39661	41541	46297	49178	52023
"PAS_CRD,THS_PAS,ES41"	446	488	470	357	380	453	372	254	218	212	226	220
"PAS_CRD,THS_PAS,ES51"	34853	38781	37117	34234	35421	38653	38810	38857	40404	41877	46204	49750
"PAS_CRD,THS_PAS,ES52"	13804	14977	15323	13838	14283	14860	13573	14212	14639	15600	18090	20395
"PAS_CRD,THS_PAS,ES53"	28822	29999	29343	27515	27939	30265	30067	30433	31306	32354	36102	38486
"PAS_CRD,THS_PAS,ES61"	20280	22210	20752	18592	18936	20243	19035	18568	19635	20807	23763	26566
"PAS_CRD,THS_PAS,ES62"	1646	1996	1879	1631	1348	1263	1181	1139	1094	1066	1095	1195
"PAS_CRD,THS_PAS,ES64"	303	327	305	286	254	278	306	280	305	310	324	318
"PAS_CRD,THS_PAS,ES70"	30049	30244	29808	26223	27557	31190	29429	29540	31680	32538	36878	39780
"PAS_CRD,THS_PAS,FI19"	1287	1347	1382	1214	1122	1233	1133	932	887	800	658	703
"PAS_CRD,THS_PAS,FI1B"	12142	13145	13435	12602	12861	14871	14851	15271	15945	16418	17181	18981
"PAS_CRD,THS_PAS,FI1C"	389	331	341	292	417	493	548	422	387	348	324	335
"PAS_CRD,THS_PAS,FI1D"	2496	2463	2359	2062	1992	2436	2589	2324	2414	2452	2559	2722
"PAS_CRD,THS_PAS,FI20"	64	63	62	56	49	54	55	52	52	59	60	62
"PAS_CRD,THS_PAS,FIZZ"	0	: 	0	0	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FR10"	82052	85965	86683	82776	83089	87813	88566	90139	92491	95337	97096	101458
"PAS_CRD,THS_PAS,FRB0"	82	89	94	112	: 	: 	167	180	183	188	200	189
"PAS_CRD,THS_PAS,FRC1"	11	14	14	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FRD1"	173	195	197	166	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FRD2"	67	89	74	68	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FRE1"	925	1037	1012	1134	1149	1143	1366	1646	1572	1520	1772	1899
"PAS_CRD,THS_PAS,FRE2"	1888	2155	2485	2592	2931	3677	3863	3952	4023	4329	3997	3646
"PAS_CRD,THS_PAS,FRF1"	6019	5981	5581	4934	5128	6043	6483	6994	7653	8203	8344	9055
"PAS_CRD,THS_PAS,FRF2"	33	4	3	3	21	51	86	99	96	81	133	: 
"PAS_CRD,THS_PAS,FRF3"	319	314	262	229	233	250	256	234	240	245	223	231
"PAS_CRD,THS_PAS,FRG0"	2350	2537	2687	2574	2969	3172	3562	3853	4096	4322	4729	5442
"PAS_CRD,THS_PAS,FRH0"	1839	1893	1871	1732	1596	1585	1672	1626	1610	1665	1758	1869
"PAS_CRD,THS_PAS,FRI1"	5146	5337	5665	5260	5522	5981	6307	6592	6865	7234	7777	8278
"PAS_CRD,THS_PAS,FRI2"	399	413	400	369	333	335	305	298	291	292	290	309
"PAS_CRD,THS_PAS,FRI3"	306	325	344	301	190	228	235	215	211	216	220	221
"PAS_CRD,THS_PAS,FRJ1"	2471	2436	2458	2367	2114	2430	2432	2639	2660	2718	2894	3106
"PAS_CRD,THS_PAS,FRJ2"	6517	6714	7137	6866	6778	7384	8077	8054	8002	8020	8451	9670
"PAS_CRD,THS_PAS,FRK1"	579	561	540	411	366	389	375	416	416	393	396	384
"PAS_CRD,THS_PAS,FRK2"	7400	7965	8617	8358	8377	8886	8904	9053	8942	9141	10017	10761
"PAS_CRD,THS_PAS,FRL0"	16625	17946	17903	17567	17423	18202	19924	20330	20329	20708	21311	22722
"PAS_CRD,THS_PAS,FRM0"	2386	2497	2650	2780	2827	2934	2988	3211	3338	3440	3657	4010
"PAS_CRD,THS_PAS,FRY1"	1917	2032	2068	1882	1995	2120	1974	2022	2014	2059	2216	2302
"PAS_CRD,THS_PAS,FRY2"	1541	1602	1572	1495	1556	1620	1565	1623	1623	1634	1774	1820
"PAS_CRD,THS_PAS,FRY3"	368	383	384	394	416	431	416	420	430	443	493	489
