unit,tra_meas,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
THS_T,FRM_LD_NLD,AT12	202 	205 	201 	198 	232 	213 	191 	190 	210 	209 	216 	221 
THS_T,FRM_LD_NLD,AT21	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,AT22	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,AT31	0 	2 	5 	4 	5 	6 	5 	6 	7 	7 	7 	6 
THS_T,FRM_LD_NLD,AT32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,AT33	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,BE21	1 	1 	1 	1 	0 	0 	1 	0 	0 	1 	2 	2 
THS_T,FRM_LD_NLD,BE24	714 	734 	614 	364 	385 	387 	405 	379 	408 	483 	473 	530 
THS_T,FRM_LD_NLD,BE25	: 	105 	75 	70 	60 	53 	48 	44 	25 	17 	22 	23 
THS_T,FRM_LD_NLD,BE32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,BE33	323 	364 	382 	402 	509 	544 	510 	534 	582 	625 	592 	696 
THS_T,FRM_LD_NLD,BG33	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 
THS_T,FRM_LD_NLD,BG34	: 	1 	1 	2 	6 	6 	2 	3 	5 	13 	9 	14 
THS_T,FRM_LD_NLD,BG41	: 	17 	19 	15 	15 	16 	16 	17 	18 	19 	21 	21 
THS_T,FRM_LD_NLD,CH01	37 	36 	31 	29 	31 	38 	36 	36 	40 	38 	42 	44 
THS_T,FRM_LD_NLD,CH02	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,CH04	266 	279 	282 	259 	304 	315 	327 	327 	328 	318 	334 	380 
THS_T,FRM_LD_NLD,CH05	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,CH07	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,CY00	45 	42 	43 	39 	37 	29 	28 	28 	28 	28 	28 	31 
THS_T,FRM_LD_NLD,CZ01	55 	55 	48 	42 	58 	63 	53 	52 	51 	51 	71 	82 
THS_T,FRM_LD_NLD,CZ04	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,CZ05	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,CZ06	3 	3 	6 	10 	5 	5 	4 	4 	5 	5 	4 	4 
THS_T,FRM_LD_NLD,CZ08	2 	2 	2 	2 	2 	2 	2 	2 	3 	3 	2 	3 
THS_T,FRM_LD_NLD,DE11	29 	28 	29 	23 	30 	30 	32 	30 	31 	29 	31 	36 
THS_T,FRM_LD_NLD,DE12	1 	1 	3 	1 	1 	1 	1 	1 	1 	1 	1 	1 
THS_T,FRM_LD_NLD,DE13	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DE14	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DE21	238 	265 	265 	234 	291 	304 	290 	288 	309 	336 	353 	379 
THS_T,FRM_LD_NLD,DE22	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DE24	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DE25	11 	12 	10 	8 	8 	8 	8 	7 	6 	6 	6 	6 
THS_T,FRM_LD_NLD,DE27	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DE30	19 	20 	22 	18 	21 	27 	31 	33 	41 	40 	42 	44 
THS_T,FRM_LD_NLD,DE40	8 	8 	9 	7 	9 	9 	6 	6 	7 	7 	8 	8 
THS_T,FRM_LD_NLD,DE50	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
THS_T,FRM_LD_NLD,DE60	38 	40 	36 	31 	27 	27 	28 	28 	29 	31 	35 	37 
THS_T,FRM_LD_NLD,DE71	2118 	2162 	2104 	1883 	2270 	2215 	2065 	2095 	2132 	2076 	2111 	2193 
THS_T,FRM_LD_NLD,DE73	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DE80	0 	0 	1 	3 	1 	0 	0 	0 	0 	: 	0 	0 
THS_T,FRM_LD_NLD,DE91	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DE92	16 	17 	18 	11 	16 	17 	16 	15 	15 	17 	19 	17 
THS_T,FRM_LD_NLD,DE94	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DEA1	59 	58 	70 	65 	87 	81 	87 	91 	97 	90 	94 	102 
THS_T,FRM_LD_NLD,DEA2	691 	709 	574 	549 	638 	727 	730 	722 	736 	739 	768 	822 
THS_T,FRM_LD_NLD,DEA3	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 
THS_T,FRM_LD_NLD,DEA4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DEA5	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DEB1	113 	112 	122 	105 	165 	222 	176 	133 	127 	73 	62 	112 
THS_T,FRM_LD_NLD,DEB2	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DEB3	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
THS_T,FRM_LD_NLD,DEC0	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DED2	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DED5	27 	86 	430 	509 	638 	744 	846 	877 	904 	983 	1045 	1130 
THS_T,FRM_LD_NLD,DEE0	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DEF0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
THS_T,FRM_LD_NLD,DEG0	5 	4 	2 	1 	1 	1 	1 	1 	2 	2 	2 	2 
THS_T,FRM_LD_NLD,DEZZ	0 	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,DK01	1 	1 	247 	152 	138 	141 	152 	137 	200 	197 	186 	219 
THS_T,FRM_LD_NLD,DK02	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DK03	4 	4 	5 	5 	10 	14 	14 	12 	9 	14 	14 	17 
THS_T,FRM_LD_NLD,DK04	2 	2 	2 	2 	2 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,DK05	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,EE00	10 	23 	42 	21 	12 	18 	24 	21 	19 	16 	14 	11 
THS_T,FRM_LD_NLD,EL30	104 	101 	105 	89 	84 	77 	69 	64 	56 	58 	65 	66 
THS_T,FRM_LD_NLD,EL41	3 	3 	3 	3 	2 	2 	2 	2 	2 	2 	1 	1 
THS_T,FRM_LD_NLD,EL42	5 	5 	5 	4 	4 	3 	2 	3 	3 	2 	2 	1 
THS_T,FRM_LD_NLD,EL43	5 	5 	5 	4 	3 	3 	1 	1 	1 	1 	1 	1 
THS_T,FRM_LD_NLD,EL51	1 	1 	2 	2 	1 	1 	1 	1 	1 	1 	0 	0 
THS_T,FRM_LD_NLD,EL52	11 	11 	10 	12 	9 	7 	7 	7 	6 	7 	7 	5 
THS_T,FRM_LD_NLD,EL53	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,EL54	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,EL61	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,EL62	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,EL63	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,EL64	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,EL65	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ES11	6 	6 	4 	2 	3 	3 	2 	2 	2 	2 	2 	2 
THS_T,FRM_LD_NLD,ES12	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ES13	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ES21	23 	23 	21 	16 	17 	18 	17 	18 	19 	20 	23 	26 
THS_T,FRM_LD_NLD,ES22	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
THS_T,FRM_LD_NLD,ES24	6 	19 	21 	37 	42 	48 	71 	72 	76 	65 	76 	104 
THS_T,FRM_LD_NLD,ES30	344 	342 	355 	330 	400 	422 	385 	367 	377 	383 	404 	450 
THS_T,FRM_LD_NLD,ES41	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ES51	98 	92 	109 	92 	106 	98 	95 	98 	95 	102 	115 	139 
THS_T,FRM_LD_NLD,ES52	15 	15 	15 	11 	14 	13 	13 	13 	13 	13 	13 	14 
THS_T,FRM_LD_NLD,ES53	27 	26 	25 	21 	20 	19 	16 	16 	15 	14 	13 	12 
THS_T,FRM_LD_NLD,ES61	13 	13 	10 	7 	8 	7 	6 	6 	6 	5 	6 	7 
THS_T,FRM_LD_NLD,ES62	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ES64	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ES70	71 	69 	65 	56 	51 	49 	43 	41 	45 	40 	40 	41 
THS_T,FRM_LD_NLD,FI19	1 	1 	2 	1 	1 	1 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,FI1B	123 	141 	142 	122 	158 	171 	189 	187 	187 	177 	182 	185 
THS_T,FRM_LD_NLD,FI1C	3 	3 	5 	4 	7 	8 	7 	5 	3 	4 	4 	3 
THS_T,FRM_LD_NLD,FI1D	5 	4 	3 	3 	2 	2 	2 	2 	2 	2 	2 	1 
